JHEP10(2018)205
T,P0,P0_err,P2,P2_err,P4,P4_err,P6,P6_err
0.135,0.44167,0.1117,0.03454075,0.000388098,0.035137021,0.00278129,0.035154008,0.013918306
0.14,0.49505,0.10107,0.046959897,0.000388098,0.045621544,0.003792668,0.045724053,0.023298033
0.145,0.55908,0.09574,0.062871928,0.000776197,0.060278161,0.002907712,0.042980559,0.015431165
0.15,0.62841,0.09043,0.081500647,0.000776197,0.071394954,0.00391909,0.039329726,0.02118003
0.155,0.70839,0.07979,0.105174644,0.000776197,0.084913611,0.004171934,0.028719364,0.02269289
0.16,0.79901,0.07447,0.128848642,0.000776197,0.088571492,0.00391909,-0.033025643,0.022087746
0.165,0.88962,0.06915,0.151746442,0.000388098,0.088815971,0.003539823,-0.059671937,0.023600605
0.17,0.98024,0.07447,0.172703752,0.000388098,0.073131089,0.003413401,-0.134124963,0.025718608
0.175,1.08149,0.06384,0.191720569,0.000388098,0.067180879,0.004045512,-0.087851815,0.031467474
0.18,1.18274,0.06384,0.204915912,0.000776197,0.054277444,0.003286979,-0.100579804,0.023903177
0.185,1.284,0.06383,0.220051746,0.000388098,0.058061589,0.003160556,-0.03645454,0.02269289
0.19,1.39589,0.05851,0.230530401,0.000388098,0.050467889,0.002275601,-0.017412483,0.015733737
0.195,1.49183,0.05852,0.241785252,0.000776197,0.046161167,0.002022756,-0.024391983,0.01633888
0.2,1.57712,0.06383,0.25148771,0.000388098,0.041222176,0.001769912,-0.039843495,0.013313162
0.205,1.6837,0.0585,0.260025873,0.000388098,0.03931732,0.001769912,-0.035930408,0.012405446
0.21,1.77431,0.05851,0.267011643,0.000388098,0.039308955,0.001896334,-0.01174463,0.01301059
0.215,1.85961,0.06384,0.273221216,0.000388098,0.04043839,0.001896334,-0.009646598,0.01301059
0.22,1.95554,0.0585,0.279042691,0.000776197,0.038786378,0.001390645,0.00092307,0.007866868
