DOI: 10.1051/epjconf/201713707008
T,P0,P0_err,P2,P2_err,P4,P4_err,P6,P6_err
0.13,0.3883,0.11703,0.01265469,0.000699272,0.001086172,0.000372746,2.78E-05,3.96E-05
0.135,0.44167,0.1117,0.01695386,0.000697286,0.00117864,0.000232465,1.59E-05,2.63E-05
0.14,0.49505,0.10107,0.022214479,0.000872203,0.001327221,0.000216432,8.33E-06,1.79E-05
0.145,0.55908,0.09574,0.028434958,0.001220052,0.001511878,0.000264529,0,2.32E-05
0.15,0.62841,0.09043,0.036749678,0.000522369,0.001872883,0.000192385,-5.05E-07,1.84E-05
0.155,0.70839,0.07979,0.045762081,0.00052356,0.002125677,0.000192385,-8.08E-06,1.59E-05
0.16,0.79901,0.07447,0.05337872,0.000872601,0.00198568,0.000152305,-3.79E-05,1.41E-05
0.165,0.88962,0.06915,0.05986098,0.00069808,0.001593184,0.000156312,-7.35E-05,2.93E-05
0.17,0.98024,0.07447,0.065121598,0.000785341,0.001300882,0.000172345,-8.01E-05,3.54E-05
0.175,1.08149,0.06384,0.069683739,0.000785738,0.001136842,0.000156313,-6.99E-05,3.18E-05
0.18,1.18274,0.06384,0.073460937,0.000784944,0.001044942,0.000116232,-4.60E-05,1.84E-05
0.185,1.284,0.06383,0.076452795,0.000784546,0.000937009,0.000104208,-3.23E-05,1.31E-05
0.19,1.39589,0.05851,0.079007956,0.000523163,0.000837103,0.000096192,-2.37E-05,1.06E-05
0.195,1.49183,0.05852,0.081039953,0.000697683,0.000761234,9.62E-05,-1.79E-05,9.34E-06
0.2,1.57712,0.06383,0.08289743,0.000523163,0.000717435,0.000092184,-1.29E-05,9.60E-06
0.205,1.6837,0.0585,0.084405867,0.000523163,0.000689662,9.62E-05,-8.59E-06,9.60E-06
0.21,1.77431,0.05851,0.085739387,0.000698081,0.000665903,0.000096193,-4.80E-06,9.85E-06
0.215,1.85961,0.06384,0.086986044,0.000610424,0.000642144,0.0001002,-2.78E-06,1.04E-05
0.22,1.95554,0.0585,0.087970524,0.00061082,0.00061838,0.000084168,-1.52E-06,9.34E-06
0.225,2.03552,0.05855,0.088780881,0.000698477,0.000590612,9.22E-05,-1.01E-06,9.09E-06
0.23,2.12613,0.05854,0.089591238,0.000610423,0.000578872,0.000076152,-5.05E-07,7.83E-06
0.235,2.20611,0.06385,0.090401595,0.00034904,0.000563124,0.000068136,-7.58E-07,8.08E-06
0.24,2.28077,0.05849,0.090950171,0.000610424,0.000547386,0.00006012,-2.22E-20,6.57E-06
0.245,2.36075,0.05314,0.091498748,0.000348643,0.000539653,0.000056113,2.53E-07,6.82E-06
0.25,2.42477,0.0638,0.091959668,0.00052356,0.000527913,0.000056112,0,7.32E-06
0.26,2.55812,0.06387,0.092795041,0.00026178,0.000516467,5.61E-05,-5.05E-07,7.07E-06
0.27,2.69148,0.06387,0.093543155,0.000435903,0.000509023,0.000056113,-1.52E-06,8.08E-06
0.28,2.7876,0.06381,0.094289282,0.000173329,0.000501548,0.000044088,-1.26E-06,1.01E-05
