chi,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
chi0, 42.813862,  0.601604,-92.508060, 52.915790,-11.018235,  8.167176,  2.142580, -6.783510, -1.806729,  0.866546
chiB2,  1.217816, -0.055125, -2.887348,  1.764809,  1.315285, -0.609300, -0.944479,  0.216683,  0.234370,  0.191848
chiQ2,  1.348564,  5.243308, -3.053199, -1.134166,  0.512748,  0.751291,  0.507758,  0.313832, -0.086755,  0.006223
chiS2,  1.207099,  2.872994, -5.562138,  0.415307,  2.169349,  0.386923, -0.834075,  0.027993,  0.106043,  0.155805
chiBQ11, -0.098315,  4.038805, -4.727254,  4.253483, -1.499610, -0.345364,  0.338237, -0.042136, -0.046727,  0.013289
chiBS11, -0.852709,  2.081115, -1.838970,  0.753364, -0.189640,  0.018920,  0.051285, -0.021446, -0.011057,  0.013418
chiQS11,  1.157080,  2.871709, -3.450543, -0.665534,  1.259941,  0.809576,  0.185096,  0.309886,  0.126170,  0.117405
chiB4,  0.067500, -0.085341,  0.039045,  0.001573, -0.002047, -0.001159, -0.000301,  0.000364, -0.000089,  0.000047
chiQ4,  1.540396,  1.903266, -1.581749,  3.754403, -3.186643, -1.384465, -1.991318,  5.226990,  1.199215,  0.697132
chiS4,  4.402131,-11.284737, 12.498363, -8.666533,  3.977313,  0.178022, -0.628470,  0.076953, -0.362348, -0.002095
chiBQ31,  0.000236, -0.002893,  0.010856, -0.018848,  0.016343, -0.006626,  0.000912,  0.000039,  0.000046, -0.000015
chiBS31, -0.850755,  0.896845,  0.241019,  0.892098, -1.816128,  0.153899,  0.777731, -0.420227,  0.170519, -0.063241
chiQS31,  1.579510, -3.186521,  2.633908, -1.243528,  0.499014,  0.030483, -0.006763, -0.020507,  0.010813,  0.002164
chiBQ13,  1.669808, -0.624205, -7.874504, 12.367274, -7.602882,  2.572799, -0.191857, -0.303345,  0.141249, -0.028598
chiBS13, -0.088558, -0.517169,  0.466487,  0.057306, -0.038137, -0.113992, -0.014219,  0.077478, -0.023898, -0.008933
chiQS13,  4.221647,-10.744969, 12.225257, -9.185670,  3.955794,  0.302856, -0.843636,  0.157148,  0.118476,  0.008279
chiBQ22,  0.129802, -0.227731,  0.038205,  0.059761,  0.035687, -0.018277, -0.018881,  0.006196, -0.004643,  0.004322
chiBS22,  0.108719, -0.037087, -0.036909, -0.017003,  0.033124,  0.003327, -0.005671, -0.002219, -0.000260,  0.000215
chiQS22,  1.277579, -2.619075,  2.392202, -1.280180,  0.276944,  0.235409,  0.095456, -0.099518,  0.021218, -0.005738
chiBQS211,  0.146378,  0.000889,  0.347979, -0.751099,  0.361519,  0.071814, -0.004707, -0.079362,  0.018901,  0.014720
chiBQS121, -1.053387,  2.218589, -1.561128,  0.487257, -0.132846,  0.012621,  0.010241,  0.006223, -0.011715,  0.006454
chiBQS112, -2.773794,  4.628585, -2.562460,  0.743784, -0.624262,  0.107876,  0.271052, -0.132425,  0.061885,  0.041451
