# include particles from PDG not included in https://pdg.lbl.gov/2020/mcdata/mass_width_2020.mcd
ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
100321,1482,19,19,336,15,15,1/2,5,5,5,2,3,0,2,K(1460),uS,K(1460)^{+}
-100321,1482,19,19,336,15,15,1/2,5,5,5,2,-3,0,2,K(1460),Us,K(1460)^{-}
9000323,1670,50,50,160,50,50,1/2,5,5,5,2,3,0,2,K(1)(1650),uS,K_{1}(1650)^{+}
-9000323,1670,50,50,160,50,50,1/2,5,5,5,2,-3,0,2,K(1)(1650),Us,K_{1}(1650)^{-}
10335,1842,8,8,225,14,14,0,1,-1,1,0,0,0,0,eta(2)(1870),x(uU+dD)+y(sS),\eta_{2}(1870)
20115,1874,26,5,237,33,30,1,-1,-1,1,0,0,0,0,pi(2)(1880),(uU-dD)/sqrt(2),\pi_{2}(1880)^{0}
20215,1874,26,5,237,33,30,1,-1,-1,1,2,3,0,0,pi(2)(1880),uD,\pi_{2}(1880)^{+}
-20215,1874,26,5,237,33,30,1,-1,-1,1,2,-3,0,0,pi(2)(1880),uD,\pi_{2}(1880)^{-}
200333,2160,80,80,135,65,65,0,-1,-1,-1,0,0,0,0,phi(2170),x(uU+dD)+y(sS),\phi(2170)
9902114,1900,50,50,160,60,60,1/2,5,-1,5,1,0,3,0,N(1875),udd,N(1875)^{0}
-9902114,1900,50,50,160,60,60,1/2,5,1,5,1,0,3,0,N(1875),UDD,\bar{N}(1875)^{0}
9902214,1900,50,50,160,60,60,1/2,5,-1,5,1,3,3,0,N(1875),uud,N(1875)^{+}
-9902214,1900,50,50,160,60,60,1/2,5,1,5,1,-3,3,0,N(1875),UUD,\bar{N}(1875)^{-}
9902112,1860,40,40,230,50,50,1/2,5,1,5,1,0,3,0,N(1880),udd,N(1880)^{0}
-9902112,1860,40,40,230,50,50,1/2,5,-1,5,1,0,3,0,N(1880),UDD,\bar{N}(1880)^{0}
9902212,1860,40,40,230,50,50,1/2,5,1,5,1,3,3,0,N(1880),uud,N(1880)^{+}
-9902212,1860,40,40,230,50,50,1/2,5,-1,5,1,-3,3,0,N(1880),UUD,\bar{N}(1880)^{-}
9912112,1910,20,20,110,30,30,1/2,5,-1,5,1,0,4,0,N(1895),udd,N(1895)^{0}
-9912112,1910,20,20,110,30,30,1/2,5,1,5,1,0,4,0,N(1895),UDD,\bar{N}(1895)^{0}
9912212,1910,20,20,110,30,30,1/2,5,-1,5,1,3,4,0,N(1895),uud,N(1895)^{+}
-9912212,1910,20,20,110,30,30,1/2,5,1,5,1,-3,4,0,N(1895),UUD,\bar{N}(1895)^{-}
9912114,1920,20,20,150,50,50,1/2,5,1,5,1,0,4,0,N(1900),udd,N(1900)^{0}
-9912114,1920,20,20,150,50,50,1/2,5,-1,5,1,0,4,0,N(1900),UDD,\bar{N}(1900)^{0}
9912214,1920,20,20,150,50,50,1/2,5,1,5,1,3,4,0,N(1900),uud,N(1900)^{+}
-9912214,1920,20,20,150,50,50,1/2,5,-1,5,1,-3,4,0,N(1900),UUD,\bar{N}(1900)^{-}
9902116,2070,60,50,400,30,50,1/2,5,-1,5,1,0,3,0,N(2060),udd,N(2060)^{0}
